"Country","Year","Married or in-union women of reproductive age who have their need for family planning satisfied with modern methods (%)","Antenatal care coverage - at least four visits (%)","Births by caesarean section (%)","Births attended by skilled health personnel (%)"
"Afghanistan"," 2016","42.1","","",""
"Afghanistan"," 2015","","","","50.5"
"Afghanistan"," 2010-2015","","17.8","2.7",""
"Albania"," 2013","","","34.1",""
"Albania"," 2009","12.9","","",""
"Albania"," 2003-2009","","66.8","","99.3"
"Algeria"," 2013","77.2","","",""
"Algeria"," 2010-2013","","67.3","16.0",""
"Algeria"," 2010-2012","","","","96.6"
"Angola"," 2016","24.2","","",""
"Angola"," 2010-2016","","61.4","3.7","46.6"
"Antigua and Barbuda"," 2014","","100.0","","100.0"
"Argentina"," 2015","","","","99.6"
"Argentina"," 2009-2012","","89.8","",""
"Argentina"," 2011","","","29.1",""
"Armenia"," 2016","40.2","","",""
"Armenia"," 2015-2016","","","","99.8"
"Armenia"," 2010-2016","","96.0","18.0",""
"Australia"," 2015","","95.0","33.3","99.7"
"Austria"," 2016","","","29.5","98.4"
"Azerbaijan"," 2016","","","","99.8"
"Azerbaijan"," 2015","","","27.6",""
"Azerbaijan"," 2006-2011","","66.1","",""
"Bahamas"," 2014","","83.1","","99.6"
"Bahrain"," 2015","","","28.0","99.7"
"Bahrain"," 2014","","100.0","",""
"Bangladesh"," 2013-2016","","37.2","30.7","49.8"
"Bangladesh"," 2014","72.5","","",""
"Barbados"," 2015","","97.0","","99.0"
"Barbados"," 2012","70","","",""
"Barbados"," 2010-2012","","","21.3",""
"Belarus"," 2014","","","27.1","99.8"
"Belarus"," 2012","74.2","","",""
"Belarus"," 2010-2012","","99.7","",""
"Belgium"," 2013","","","21.2",""
"Belize"," 2016","65.9","","",""
"Belize"," 2013-2016","","92.6","34.2","96.8"
"Benin"," 2014","24.5","","",""
"Benin"," 2012-2014","","58.7","5.3","77.2"
"Bhutan"," 2016","","","","89.0"
"Bhutan"," 2013-2015","","84.9","",""
"Bhutan"," 2010","84.6","","",""
"Bhutan"," 2008-2010","","","12.4",""
"Bolivia (Plurinational State of)"," 2011-2016","","85.6","33.4","89.8"
"Bolivia (Plurinational State of)"," 2008","42.8","","",""
"Bosnia and Herzegovina"," 2015","","","","99.9"
"Bosnia and Herzegovina"," 2014","","","24.0",""
"Bosnia and Herzegovina"," 2012","21.9","","",""
"Bosnia and Herzegovina"," 2009-2011","","84.2","",""
"Botswana"," 2015","","","","99.7"
"Botswana"," 2005-2007","","73.3","",""
"Brazil"," 2015","","90.9","55.5","99.1"
"Brazil"," 2007","89.3","","",""
"Brunei Darussalam"," 2016","","100.0","","100.0"
"Bulgaria"," 2015","","","","99.8"
"Bulgaria"," 2014","","","39.1",""
"Burkina Faso"," 2017","45","","",""
"Burkina Faso"," 2010-2015","","47.2","3.7","79.8"
"Burundi"," 2017","39.3","","",""
"Burundi"," 2011-2017","","49.3","","85.1"
"Burundi"," 2005-2010","","","4.0",""
"Cabo Verde"," 2015","","","","91.4"
"Cambodia"," 2014","56.4","","",""
"Cambodia"," 2009-2014","","75.6","6.3","89.0"
"Cameroon"," 2014","40.1","","",""
"Cameroon"," 2012-2014","","58.8","2.4","64.7"
"Canada"," 2015","","","27.9",""
"Canada"," 2014","","","","97.9"
"Canada"," 2006-2007","","98.9","",""
"Central African Republic"," 2011","28.7","","",""
"Central African Republic"," 2008-2010","","38.1","4.5","40.0"
"Chad"," 2015","17.5","","",""
"Chad"," 2009-2015","","31.0","1.4","20.2"
"Chile"," 2015","","","","99.7"
"Chile"," 2012","","","49.6",""
"China"," 2015","","","","99.9"
"China"," 2014","","","34.9",""
"Colombia"," 2016","86.5","","45.8",""
"Colombia"," 2010-2015","","89.9","","95.9"
"Comoros"," 2012","27.8","","",""
"Comoros"," 2007-2012","","48.9","9.6","82.2"
"Congo"," 2015","38.5","","",""
"Congo"," 2012-2015","","79.0","4.9","91.2"
"Cook Islands"," 2009","","","","100.0"
"Costa Rica"," 2010-2015","","97.6","","90.0"
"Costa Rica"," 2014","","","23.5",""
"Costa Rica"," 2011","89.1","","",""
"Côte d'Ivoire"," 2016","31.1","","",""
"Côte d'Ivoire"," 2014-2016","","","3.3",""
"Côte d'Ivoire"," 2013-2016","","","","73.7"
"Côte d'Ivoire"," 2006-2012","","44.2","",""
"Croatia"," 2016","","97.3","23.0",""
"Croatia"," 2015","","","","99.9"
"Cuba"," 2016","","","","99.9"
"Cuba"," 2014","88.4","","",""
"Cuba"," 2012-2014","","97.8","40.4",""
"Cyprus"," 2015","","","56.9",""
"Cyprus"," 2014","","","","97.4"
"Czechia"," 2013","","98.8","","99.8"
"Czechia"," 2012","","","25.9",""
"Democratic People's Republic of Korea"," 2007-2009","","93.5","12.5","100.0"
"Democratic Republic of the Congo"," 2014","15.6","","",""
"Democratic Republic of the Congo"," 2008-2014","","48.0","5.1","80.1"
"Denmark"," 2016","","","19.5","94.4"
"Djibouti"," 2007-2012","","25.7","11.0","87.4"
"Dominica"," 2016","","70.0","","96.0"
"Dominican Republic"," 2015","","","","99.6"
"Dominican Republic"," 2014","84.1","","",""
"Dominican Republic"," 2012","","92.9","58.1",""
"Ecuador"," 2016","","","","96.7"
"Ecuador"," 2015","","","49.0",""
"Ecuador"," 2012","80.7","79.5","",""
